181.92,70.726,0
218.72,50.161,0
220.6,22.366,0
218.1,108.05,1
228.13,44.274,0
213.44,41.913,0
214.19,91.432,1
238.73,80.773,1
178.73,45.006,0
247.46,75.689,1
235.89,72.452,1
204.26,56.687,0
227.87,86.641,1
218.56,43.053,1
250.95,54.424,0
254.73,60.833,0
246.15,86.384,1
176.26,36.154,0
264.26,67.953,1
208.57,40.904,0
186.69,90.35,1
218.14,65.851,1
216.25,70.808,1
216.09,47.282,1
192.37,62.962,1
197.71,79.673,0
228.39,73.604,1
222.92,56.512,1
208.86,92.448,1
188.02,69.622,1
234.1,51.906,1
204.12,49.775,0
198.93,63.391,1
199.84,68.337,1
180.94,50.518,0
230.71,40.364,0
231.38,29.028,0
188.61,74.553,0
213.26,73.959,1
217.55,91.023,1
248.05,76.166,1
198.75,50.541,0
221.67,42.876,0
203.06,97.248,1
228.24,35.197,0
184.26,94.735,0
243.03,77.249,1
198.7,53.097,0
229.07,81.199,1
166.64,37.552,0
211.35,80.128,1
204.43,71.172,1
210.38,53.503,1
224.05,42.264,1
249.98,88.471,1
196.27,41.748,0
209.32,48.514,0
201.11,60.857,0
200.74,60.326,1
257.49,77.479,1
203.69,45.815,0
175.96,105.88,0
210.54,91.419,1
244.48,35.938,1
228.42,46.633,0
236.43,47.624,1
166.67,110.63,0
233.37,35.821,1
194.99,86.726,1
246.38,85.237,1
236.05,61.278,1
192.39,84.723,0
180.77,80.428,0
174.29,44.464,0
